line,part_number,part_number_description,images,attributes
EIK,55,Bulb,"'{""eik/4004932-blb_55_r01_c01.jpg"",""eik/4004932-blb_55_r01_c02.jpg"",""eik/4004932-blb_55_r01_c03.jpg"",""eik/4004932-blb_55_r01_c04.jpg"",""eik/4004932-blb_55_r01_c05.jpg"",""eik/4004932-blb_55_r01_c06.jpg"",""eik/4004932-blb_55_r01_c07.jpg"",""eik/4004932-blb_55_r01_c08.jpg"",""eik/4004932-blb_55_r01_c09.jpg"",""eik/4004932-blb_55_r01_c10.jpg"",""eik/4004932-blb_55_r01_c11.jpg"",""eik/4004932-blb_55_r01_c12.jpg"",""eik/4004932-blb_55_r01_c13.jpg"",""eik/4004932-blb_55_r01_c14.jpg"",""eik/4004932-blb_55_r01_c15.jpg"",""eik/4004932-blb_55_r01_c16.jpg"",""eik/4004932-blb_55_r01_c17.jpg"",""eik/4004932-blb_55_r01_c18.jpg"",""eik/4004932-blb_55_r01_c19.jpg"",""eik/4004932-blb_55_r01_c20.jpg"",""eik/4004932-blb_55_r01_c21.jpg"",""eik/4004932-blb_55_r01_c22.jpg"",""eik/4004932-blb_55_r01_c23.jpg"",""eik/4004932-blb_55_r01_c24.jpg"",""eik/55ll_p04_fro.jpg""}'","[{""Overall Length (in)"" : ""1-1/16 Inch""}, {""Voltage (V)"" : ""7 Volt""}, {""Bulb Type"" : ""Incandescent""}, {""Number Of Filaments"" : ""1""}, {""Color"" : ""Clear""}, {""Wattage (W)"" : ""2.87 Watt""}, {""Amperage (A)"" : ""0.41 Amp""}, {""Base Type"" : ""BA9s""}, {""Industry Number"" : ""55""}, {""Light Output (Lumens)"" : ""25 Lumen""}, {""Light Center Length (in)"" : ""9/16 Inch""}, {""Bulb Diameter (in)"" : ""9/16 Inch""}, {""Color Temperature (Kelvin)"" : ""3125K""}, {""Bulb Family"" : ""G4-1/2""}, {""SAE/DOT Compliant"" : ""Yes""}]"
EIK,6255BAHBP,Bulb,"'{""eik/4004982-blb_6255bah-bp_r01_c01.jpg"",""eik/4004982-blb_6255bah-bp_r01_c02.jpg"",""eik/4004982-blb_6255bah-bp_r01_c03.jpg"",""eik/4004982-blb_6255bah-bp_r01_c04.jpg"",""eik/4004982-blb_6255bah-bp_r01_c05.jpg"",""eik/4004982-blb_6255bah-bp_r01_c06.jpg"",""eik/4004982-blb_6255bah-bp_r01_c07.jpg"",""eik/4004982-blb_6255bah-bp_r01_c08.jpg"",""eik/4004982-blb_6255bah-bp_r01_c09.jpg"",""eik/4004982-blb_6255bah-bp_r01_c10.jpg"",""eik/4004982-blb_6255bah-bp_r01_c11.jpg"",""eik/4004982-blb_6255bah-bp_r01_c12.jpg"",""eik/4004982-blb_6255bah-bp_r01_c13.jpg"",""eik/4004982-blb_6255bah-bp_r01_c14.jpg"",""eik/4004982-blb_6255bah-bp_r01_c15.jpg"",""eik/4004982-blb_6255bah-bp_r01_c16.jpg"",""eik/4004982-blb_6255bah-bp_r01_c17.jpg"",""eik/4004982-blb_6255bah-bp_r01_c18.jpg"",""eik/4004982-blb_6255bah-bp_r01_c19.jpg"",""eik/4004982-blb_6255bah-bp_r01_c20.jpg"",""eik/4004982-blb_6255bah-bp_r01_c21.jpg"",""eik/4004982-blb_6255bah-bp_r01_c22.jpg"",""eik/4004982-blb_6255bah-bp_r01_c23.jpg"",""eik/4004982-blb_6255bah-bp_r01_c24.jpg"",""eik/6255bah_p04_fro.jpg""}'","[{""Amperage (A)"" : ""4.69 Amp, 4.3 Amp""}, {""Bulb Diameter (in)"" : ""3-5/8 Inch""}, {""Base Type"" : ""P45t41""}, {""Light Output (Lumens)"" : ""1545 Lumen""}, {""Bulb Diameter (mm)"" : ""92mm""}, {""Overall Length (mm)"" : ""17mm""}, {""Filament Type"" : ""C8""}, {""Wattage (W)"" : ""60 Watt""}, {""Bulb Family"" : ""T5""}, {""Color"" : ""Clear""}, {""Overall Length (in)"" : ""5/8 Inch""}, {""Voltage (V)"" : ""12.8 Volt""}]"
EIK,6260BBP,Bulb; Sealed Beam,"'{""eik/4004986-blb_6260b-bp_r01_c01.jpg"",""eik/4004986-blb_6260b-bp_r01_c02.jpg"",""eik/4004986-blb_6260b-bp_r01_c03.jpg"",""eik/4004986-blb_6260b-bp_r01_c04.jpg"",""eik/4004986-blb_6260b-bp_r01_c05.jpg"",""eik/4004986-blb_6260b-bp_r01_c06.jpg"",""eik/4004986-blb_6260b-bp_r01_c07.jpg"",""eik/4004986-blb_6260b-bp_r01_c08.jpg"",""eik/4004986-blb_6260b-bp_r01_c09.jpg"",""eik/4004986-blb_6260b-bp_r01_c10.jpg"",""eik/4004986-blb_6260b-bp_r01_c11.jpg"",""eik/4004986-blb_6260b-bp_r01_c12.jpg"",""eik/4004986-blb_6260b-bp_r01_c13.jpg"",""eik/4004986-blb_6260b-bp_r01_c14.jpg"",""eik/4004986-blb_6260b-bp_r01_c15.jpg"",""eik/4004986-blb_6260b-bp_r01_c16.jpg"",""eik/4004986-blb_6260b-bp_r01_c17.jpg"",""eik/4004986-blb_6260b-bp_r01_c18.jpg"",""eik/4004986-blb_6260b-bp_r01_c19.jpg"",""eik/4004986-blb_6260b-bp_r01_c20.jpg"",""eik/4004986-blb_6260b-bp_r01_c21.jpg"",""eik/4004986-blb_6260b-bp_r01_c22.jpg"",""eik/4004986-blb_6260b-bp_r01_c23.jpg"",""eik/4004986-blb_6260b-bp_r01_c24.jpg"",""eik/6260b_p04_fro.jpg""}'","[{""Color"" : ""Clear""}, {""Base Type"" : ""BA20d""}, {""Bulb Diameter (in)"" : ""2-5/8 Inch""}, {""Overall Length (in)"" : ""1-7/16 Inch""}, {""Light Output (Lumens)"" : ""940 Lumen""}, {""Amperage (A)"" : ""5 Amp""}, {""Wattage (W)"" : ""60 Watt""}, {""Bulb Family"" : ""B35""}, {""Average Life (hr)"" : ""75 Hour""}, {""Filament Type"" : ""C8, C2R""}, {""Voltage (V)"" : ""12 Volt""}, {""Overall Length (mm)"" : ""36mm""}, {""Bulb Diameter (mm)"" : ""66mm""}]"
EIK,6260HDBP,Bulb; Headlight,"'{""eik/4004990-blb_6260hd-bp_r01_c01.jpg"",""eik/4004990-blb_6260hd-bp_r01_c02.jpg"",""eik/4004990-blb_6260hd-bp_r01_c03.jpg"",""eik/4004990-blb_6260hd-bp_r01_c04.jpg"",""eik/4004990-blb_6260hd-bp_r01_c05.jpg"",""eik/4004990-blb_6260hd-bp_r01_c06.jpg"",""eik/4004990-blb_6260hd-bp_r01_c07.jpg"",""eik/4004990-blb_6260hd-bp_r01_c08.jpg"",""eik/4004990-blb_6260hd-bp_r01_c09.jpg"",""eik/4004990-blb_6260hd-bp_r01_c10.jpg"",""eik/4004990-blb_6260hd-bp_r01_c11.jpg"",""eik/4004990-blb_6260hd-bp_r01_c12.jpg"",""eik/4004990-blb_6260hd-bp_r01_c13.jpg"",""eik/4004990-blb_6260hd-bp_r01_c14.jpg"",""eik/4004990-blb_6260hd-bp_r01_c15.jpg"",""eik/4004990-blb_6260hd-bp_r01_c16.jpg"",""eik/4004990-blb_6260hd-bp_r01_c17.jpg"",""eik/4004990-blb_6260hd-bp_r01_c18.jpg"",""eik/4004990-blb_6260hd-bp_r01_c19.jpg"",""eik/4004990-blb_6260hd-bp_r01_c20.jpg"",""eik/4004990-blb_6260hd-bp_r01_c21.jpg"",""eik/4004990-blb_6260hd-bp_r01_c22.jpg"",""eik/4004990-blb_6260hd-bp_r01_c23.jpg"",""eik/4004990-blb_6260hd-bp_r01_c24.jpg"",""eik/6260hd_p04_fro.jpg""}'","[{""Voltage (V)"" : ""12 Volt""}, {""Base Type"" : ""Axial Prefocus, H4 (P43t38)""}, {""Wattage (W)"" : ""60 Watt""}, {""Bulb Family"" : ""T5""}, {""Amperage (A)"" : ""5, 4.58 Amp""}, {""Color"" : ""Clear""}, {""Light Output (Lumens)"" : ""1645 Lumen""}]"
EIK,6265BP,Bulb; Sealed Beam,"'{""eik/4004997-blb_6265-bp_r01_c01.jpg"",""eik/4004997-blb_6265-bp_r01_c02.jpg"",""eik/4004997-blb_6265-bp_r01_c03.jpg"",""eik/4004997-blb_6265-bp_r01_c04.jpg"",""eik/4004997-blb_6265-bp_r01_c05.jpg"",""eik/4004997-blb_6265-bp_r01_c06.jpg"",""eik/4004997-blb_6265-bp_r01_c07.jpg"",""eik/4004997-blb_6265-bp_r01_c08.jpg"",""eik/4004997-blb_6265-bp_r01_c09.jpg"",""eik/4004997-blb_6265-bp_r01_c10.jpg"",""eik/4004997-blb_6265-bp_r01_c11.jpg"",""eik/4004997-blb_6265-bp_r01_c12.jpg"",""eik/4004997-blb_6265-bp_r01_c13.jpg"",""eik/4004997-blb_6265-bp_r01_c14.jpg"",""eik/4004997-blb_6265-bp_r01_c15.jpg"",""eik/4004997-blb_6265-bp_r01_c16.jpg"",""eik/4004997-blb_6265-bp_r01_c17.jpg"",""eik/4004997-blb_6265-bp_r01_c18.jpg"",""eik/4004997-blb_6265-bp_r01_c19.jpg"",""eik/4004997-blb_6265-bp_r01_c20.jpg"",""eik/4004997-blb_6265-bp_r01_c21.jpg"",""eik/4004997-blb_6265-bp_r01_c22.jpg"",""eik/4004997-blb_6265-bp_r01_c23.jpg"",""eik/4004997-blb_6265-bp_r01_c24.jpg"",""eik/6265-bp_p04_fro.jpg""}'","[{""Overall Length (mm)"" : ""92mm""}, {""Wattage (W)"" : ""100 Watt""}, {""Amperage (A)"" : ""8.33, 6.66 Amp""}, {""Bulb Diameter (in)"" : ""5/8 Inch""}, {""Bulb Family"" : ""T5""}, {""Filament Type"" : ""C8""}, {""Base Type"" : ""Axial Prefocus, H4 (P43t)""}, {""Bulb Diameter (mm)"" : ""17mm""}, {""Voltage (V)"" : ""13.2 Volt""}, {""Light Output (Lumens)"" : ""1.65 Lumen""}, {""Overall Length (in)"" : ""3-5/8 Inch""}, {""Color"" : ""Clear""}]"
EIK,63,Bulb; Mini; 10 Pack,"'{""eik/4004998-blb_63_r01_c01.jpg"",""eik/4004998-blb_63_r01_c02.jpg"",""eik/4004998-blb_63_r01_c03.jpg"",""eik/4004998-blb_63_r01_c04.jpg"",""eik/4004998-blb_63_r01_c05.jpg"",""eik/4004998-blb_63_r01_c06.jpg"",""eik/4004998-blb_63_r01_c07.jpg"",""eik/4004998-blb_63_r01_c08.jpg"",""eik/4004998-blb_63_r01_c09.jpg"",""eik/4004998-blb_63_r01_c10.jpg"",""eik/4004998-blb_63_r01_c11.jpg"",""eik/4004998-blb_63_r01_c12.jpg"",""eik/4004998-blb_63_r01_c13.jpg"",""eik/4004998-blb_63_r01_c14.jpg"",""eik/4004998-blb_63_r01_c15.jpg"",""eik/4004998-blb_63_r01_c16.jpg"",""eik/4004998-blb_63_r01_c17.jpg"",""eik/4004998-blb_63_r01_c18.jpg"",""eik/4004998-blb_63_r01_c19.jpg"",""eik/4004998-blb_63_r01_c20.jpg"",""eik/4004998-blb_63_r01_c21.jpg"",""eik/4004998-blb_63_r01_c22.jpg"",""eik/4004998-blb_63_r01_c23.jpg"",""eik/4004998-blb_63_r01_c24.jpg"",""eik/63_p04_fro.jpg""}'","[{""Wattage (W)"" : ""4.41 Watt""}, {""Voltage (V)"" : ""7 Volt""}, {""Street Legal"" : ""Yes""}, {""Light Output (Lumens)"" : ""38 Lumen""}, {""Color Temperature (Kelvin)"" : ""3125K""}, {""Base Type"" : ""BA15s""}, {""Color"" : ""Clear""}, {""Amperage (A)"" : ""0.63 Amp""}, {""Overall Length (in)"" : ""1-7/16 Inch""}, {""Light Center Length (in)"" : ""3/4 Inch""}, {""Bulb Type"" : ""Incandescent""}, {""Number Of Filaments"" : ""1""}, {""Bulb Diameter (in)"" : ""3/4 Inch""}, {""Bulb Family"" : ""G6SC""}, {""Industry Number"" : ""63""}]"
EIK,64111,Bulb; Mini; 10 Pack,"'{""eik/4005011-blb_64111_r01_c01.jpg"",""eik/4005011-blb_64111_r01_c02.jpg"",""eik/4005011-blb_64111_r01_c03.jpg"",""eik/4005011-blb_64111_r01_c04.jpg"",""eik/4005011-blb_64111_r01_c05.jpg"",""eik/4005011-blb_64111_r01_c06.jpg"",""eik/4005011-blb_64111_r01_c07.jpg"",""eik/4005011-blb_64111_r01_c08.jpg"",""eik/4005011-blb_64111_r01_c09.jpg"",""eik/4005011-blb_64111_r01_c10.jpg"",""eik/4005011-blb_64111_r01_c11.jpg"",""eik/4005011-blb_64111_r01_c12.jpg"",""eik/4005011-blb_64111_r01_c13.jpg"",""eik/4005011-blb_64111_r01_c14.jpg"",""eik/4005011-blb_64111_r01_c15.jpg"",""eik/4005011-blb_64111_r01_c16.jpg"",""eik/4005011-blb_64111_r01_c17.jpg"",""eik/4005011-blb_64111_r01_c18.jpg"",""eik/4005011-blb_64111_r01_c19.jpg"",""eik/4005011-blb_64111_r01_c20.jpg"",""eik/4005011-blb_64111_r01_c21.jpg"",""eik/4005011-blb_64111_r01_c22.jpg"",""eik/4005011-blb_64111_r01_c23.jpg"",""eik/4005011-blb_64111_r01_c24.jpg"",""eik/64111_p04_fro.jpg""}'","[{""Light Center Length (in)"" : ""5/8 Inch""}, {""Bulb Family"" : ""T2""}, {""Color"" : ""Clear""}, {""Overall Length (mm)"" : ""33mm""}, {""Voltage (V)"" : ""12 Volt""}, {""Wattage (W)"" : ""5 Watt""}, {""Amperage (A)"" : ""0.42 Amp""}, {""Number Of Filaments"" : ""1""}, {""Bulb Type"" : ""Incandescent""}, {""Street Legal"" : ""Yes""}, {""SAE/DOT Compliant"" : ""Yes""}, {""Color Temperature (Kelvin)"" : ""3125K""}, {""Overall Length (in)"" : ""1-5/16 Inch""}, {""Base Type"" : ""BA9s""}, {""Bulb Diameter (in)"" : ""3/8 Inch""}, {""Light Output (Lumens)"" : ""84 Lumen""}, {""Industry Number"" : ""64111""}]"
EIK,64111BP,Bulb,"'{""eik/64111_p04_fro.jpg""}'","[{""Overall Length (mm)"" : ""38mm""}, {""Overall Length (in)"" : ""1-5/8 Inch""}, {""Voltage (V)"" : ""12 Volt""}, {""Wattage (W)"" : ""5 Watt""}, {""Amperage (A)"" : ""0.42 Amp""}, {""Bulb Diameter (in)"" : ""1-5/16 Inch""}, {""Bulb Family"" : ""T2-3/4""}, {""Light Output (Lumens)"" : ""84 Lumen""}, {""Bulb Diameter (mm)"" : ""33mm""}, {""Base Type"" : ""BA9s""}, {""Color"" : ""Clear""}]"
EIK,6614FBP,Bulb; Mini,"'{""eik/6614f-bp_p04_fro.jpg""}'","[{""Bulb Diameter (mm)"" : ""31mm""}, {""Wattage (W)"" : ""0.7 Watt""}, {""Bulb Diameter (in)"" : ""1-1/4 Inch""}, {""Light Output (Lumens)"" : ""2 Lumen""}, {""Bulb Family"" : ""T2""}, {""Amperage (A)"" : ""0.05 Amp""}, {""Overall Length (in)"" : ""7/16 Inch""}, {""Overall Length (mm)"" : ""11mm""}, {""Voltage (V)"" : ""14 Volt""}, {""Base Type"" : ""SF6/6""}, {""Color"" : ""Clear""}]"
EIK,68,Bulb; Halogen; Mini; 10 Pack,"'{""eik/4005030-blb_68_r01_c01.jpg"",""eik/4005030-blb_68_r01_c02.jpg"",""eik/4005030-blb_68_r01_c03.jpg"",""eik/4005030-blb_68_r01_c04.jpg"",""eik/4005030-blb_68_r01_c05.jpg"",""eik/4005030-blb_68_r01_c06.jpg"",""eik/4005030-blb_68_r01_c07.jpg"",""eik/4005030-blb_68_r01_c08.jpg"",""eik/4005030-blb_68_r01_c09.jpg"",""eik/4005030-blb_68_r01_c10.jpg"",""eik/4005030-blb_68_r01_c11.jpg"",""eik/4005030-blb_68_r01_c12.jpg"",""eik/4005030-blb_68_r01_c13.jpg"",""eik/4005030-blb_68_r01_c14.jpg"",""eik/4005030-blb_68_r01_c15.jpg"",""eik/4005030-blb_68_r01_c16.jpg"",""eik/4005030-blb_68_r01_c17.jpg"",""eik/4005030-blb_68_r01_c18.jpg"",""eik/4005030-blb_68_r01_c19.jpg"",""eik/4005030-blb_68_r01_c20.jpg"",""eik/4005030-blb_68_r01_c21.jpg"",""eik/4005030-blb_68_r01_c22.jpg"",""eik/4005030-blb_68_r01_c23.jpg"",""eik/4005030-blb_68_r01_c24.jpg"",""eik/68_p04_fro.jpg""}'","[{""Light Output (Lumens)"" : ""50 Lumen""}, {""Color Temperature (Kelvin)"" : ""3125K""}, {""Base Type"" : ""BA15d""}, {""Light Center Length (in)"" : ""13/16 Inch""}, {""Voltage (V)"" : ""13.5 Volt""}, {""Bulb Diameter (in)"" : ""3/4 Inch""}, {""Amperage (A)"" : ""0.59 Amp""}, {""Wattage (W)"" : ""7.97 Watt""}, {""Bulb Type"" : ""Halogen""}, {""Color"" : ""Clear""}, {""Overall Length (in)"" : ""1-7/16 Inch""}, {""Bulb Family"" : ""G6DC""}]"
EIK,70,Bulb; Mini; 10 Pack,"'{""eik/4005035-blb_70_r01_c01.jpg"",""eik/4005035-blb_70_r01_c02.jpg"",""eik/4005035-blb_70_r01_c03.jpg"",""eik/4005035-blb_70_r01_c04.jpg"",""eik/4005035-blb_70_r01_c05.jpg"",""eik/4005035-blb_70_r01_c06.jpg"",""eik/4005035-blb_70_r01_c07.jpg"",""eik/4005035-blb_70_r01_c08.jpg"",""eik/4005035-blb_70_r01_c09.jpg"",""eik/4005035-blb_70_r01_c10.jpg"",""eik/4005035-blb_70_r01_c11.jpg"",""eik/4005035-blb_70_r01_c12.jpg"",""eik/4005035-blb_70_r01_c13.jpg"",""eik/4005035-blb_70_r01_c14.jpg"",""eik/4005035-blb_70_r01_c15.jpg"",""eik/4005035-blb_70_r01_c16.jpg"",""eik/4005035-blb_70_r01_c17.jpg"",""eik/4005035-blb_70_r01_c18.jpg"",""eik/4005035-blb_70_r01_c19.jpg"",""eik/4005035-blb_70_r01_c20.jpg"",""eik/4005035-blb_70_r01_c21.jpg"",""eik/4005035-blb_70_r01_c22.jpg"",""eik/4005035-blb_70_r01_c23.jpg"",""eik/4005035-blb_70_r01_c24.jpg"",""eik/70_p04_fro.jpg""}'","[{""Bulb Family"" : ""T1""}, {""Light Output (Lumens)"" : ""19 Lumen""}, {""Color Temperature (Kelvin)"" : ""3125K""}, {""Bulb Type"" : ""Incandescent""}, {""Bulb Diameter (in)"" : ""3/16 Inch""}, {""Color"" : ""Clear""}, {""Wattage (W)"" : ""2.1 Watt""}, {""Voltage (V)"" : ""14 Volt""}, {""Base Type"" : ""W2x4.6d""}, {""Amperage (A)"" : ""0.15 Amp""}, {""Overall Length (in)"" : ""3/16 Inch""}]"
EIK,7225,Bulb; 7225; Incandescent; Mini; 10 Pack,"'{""eik/4005041-blb_7225_r01_c01.jpg"",""eik/4005041-blb_7225_r01_c02.jpg"",""eik/4005041-blb_7225_r01_c03.jpg"",""eik/4005041-blb_7225_r01_c04.jpg"",""eik/4005041-blb_7225_r01_c05.jpg"",""eik/4005041-blb_7225_r01_c06.jpg"",""eik/4005041-blb_7225_r01_c07.jpg"",""eik/4005041-blb_7225_r01_c08.jpg"",""eik/4005041-blb_7225_r01_c09.jpg"",""eik/4005041-blb_7225_r01_c10.jpg"",""eik/4005041-blb_7225_r01_c11.jpg"",""eik/4005041-blb_7225_r01_c12.jpg"",""eik/4005041-blb_7225_r01_c13.jpg"",""eik/4005041-blb_7225_r01_c14.jpg"",""eik/4005041-blb_7225_r01_c15.jpg"",""eik/4005041-blb_7225_r01_c16.jpg"",""eik/4005041-blb_7225_r01_c17.jpg"",""eik/4005041-blb_7225_r01_c18.jpg"",""eik/4005041-blb_7225_r01_c19.jpg"",""eik/4005041-blb_7225_r01_c20.jpg"",""eik/4005041-blb_7225_r01_c21.jpg"",""eik/4005041-blb_7225_r01_c22.jpg"",""eik/4005041-blb_7225_r01_c23.jpg"",""eik/4005041-blb_7225_r01_c24.jpg"",""eik/7225_p04_fro.jpg""}'","[{""Light Output (Lumens)"" : ""15, 440 Lumen""}, {""Bulb Type"" : ""Incandescent""}, {""Industry Number"" : ""7225""}, {""Bulb Diameter (in)"" : ""1-1/16 Inch""}, {""Color Temperature (Kelvin)"" : ""3125K""}, {""Wattage (W)"" : ""4, 21 Watt""}, {""Voltage (V)"" : ""13.5 Volt""}, {""Overall Length (in)"" : ""2 Inch""}, {""Number Of Filaments"" : ""2""}, {""Color"" : ""Clear""}, {""Base Type"" : ""BAZ15d""}, {""Light Center Length (in)"" : ""1-1/4 Inch""}, {""Bulb Family"" : ""S8, DC""}, {""Amperage (A)"" : ""0.37, 1.85 Amp""}]"
EIK,73,Bulb; Mini,"'{""eik/4005047-blb_73_r01_c01.jpg"",""eik/4005047-blb_73_r01_c02.jpg"",""eik/4005047-blb_73_r01_c03.jpg"",""eik/4005047-blb_73_r01_c04.jpg"",""eik/4005047-blb_73_r01_c05.jpg"",""eik/4005047-blb_73_r01_c06.jpg"",""eik/4005047-blb_73_r01_c07.jpg"",""eik/4005047-blb_73_r01_c08.jpg"",""eik/4005047-blb_73_r01_c09.jpg"",""eik/4005047-blb_73_r01_c10.jpg"",""eik/4005047-blb_73_r01_c11.jpg"",""eik/4005047-blb_73_r01_c12.jpg"",""eik/4005047-blb_73_r01_c13.jpg"",""eik/4005047-blb_73_r01_c14.jpg"",""eik/4005047-blb_73_r01_c15.jpg"",""eik/4005047-blb_73_r01_c16.jpg"",""eik/4005047-blb_73_r01_c17.jpg"",""eik/4005047-blb_73_r01_c18.jpg"",""eik/4005047-blb_73_r01_c19.jpg"",""eik/4005047-blb_73_r01_c20.jpg"",""eik/4005047-blb_73_r01_c21.jpg"",""eik/4005047-blb_73_r01_c22.jpg"",""eik/4005047-blb_73_r01_c23.jpg"",""eik/4005047-blb_73_r01_c24.jpg"",""eik/73_p04_fro.jpg""}'","[{""Base Type"" : ""W2.1X4.9d""}, {""Color Temperature (Kelvin)"" : ""3125K""}, {""Color"" : ""Clear""}, {""Bulb Family"" : ""T1""}, {""Voltage (V)"" : ""14 Volt""}, {""Overall Length (in)"" : ""13/16 Inch""}, {""Amperage (A)"" : ""0.08 Amp""}, {""Light Output (Lumens)"" : ""3.77 Lumen""}, {""Bulb Diameter (in)"" : ""1/4 Inch""}, {""Bulb Type"" : ""Incandescent""}, {""Light Center Length (in)"" : ""3/16 Inch""}, {""Wattage (W)"" : ""1.12 Watt""}]"
EIK,7511,Bulb; 24 Volt,"'{""eik/4005119-blb_7511_r01_c01.jpg"",""eik/4005119-blb_7511_r01_c02.jpg"",""eik/4005119-blb_7511_r01_c03.jpg"",""eik/4005119-blb_7511_r01_c04.jpg"",""eik/4005119-blb_7511_r01_c05.jpg"",""eik/4005119-blb_7511_r01_c06.jpg"",""eik/4005119-blb_7511_r01_c07.jpg"",""eik/4005119-blb_7511_r01_c08.jpg"",""eik/4005119-blb_7511_r01_c09.jpg"",""eik/4005119-blb_7511_r01_c10.jpg"",""eik/4005119-blb_7511_r01_c11.jpg"",""eik/4005119-blb_7511_r01_c12.jpg"",""eik/4005119-blb_7511_r01_c13.jpg"",""eik/4005119-blb_7511_r01_c14.jpg"",""eik/4005119-blb_7511_r01_c15.jpg"",""eik/4005119-blb_7511_r01_c16.jpg"",""eik/4005119-blb_7511_r01_c17.jpg"",""eik/4005119-blb_7511_r01_c18.jpg"",""eik/4005119-blb_7511_r01_c19.jpg"",""eik/4005119-blb_7511_r01_c20.jpg"",""eik/4005119-blb_7511_r01_c21.jpg"",""eik/4005119-blb_7511_r01_c22.jpg"",""eik/4005119-blb_7511_r01_c23.jpg"",""eik/4005119-blb_7511_r01_c24.jpg"",""eik/7511_p04_fro.jpg""}'","[{""Voltage (V)"" : ""28 Volt""}, {""Color"" : ""Clear""}, {""Bulb Family"" : ""S8, SC""}, {""Bulb Diameter (in)"" : ""1-1/16 Inch""}, {""Number Of Filaments"" : ""1""}, {""Bulb Type"" : ""Incandescent""}, {""Base Type"" : ""BA15s""}, {""Industry Number"" : ""7511""}, {""Light Output (Lumens)"" : ""465 Lumen""}, {""Light Center Length (in)"" : ""1-1/4 Inch""}, {""Overall Length (in)"" : ""2 Inch""}, {""Wattage (W)"" : ""28 Watt""}, {""Amperage (A)"" : ""1 Amp""}, {""SAE/DOT Compliant"" : ""Yes""}, {""Color Temperature (Kelvin)"" : ""3125K""}]"
EIK,7537,Bulb; 28 Volt,"'{""eik/4005126-blb_7537_r01_c01.jpg"",""eik/4005126-blb_7537_r01_c02.jpg"",""eik/4005126-blb_7537_r01_c03.jpg"",""eik/4005126-blb_7537_r01_c04.jpg"",""eik/4005126-blb_7537_r01_c05.jpg"",""eik/4005126-blb_7537_r01_c06.jpg"",""eik/4005126-blb_7537_r01_c07.jpg"",""eik/4005126-blb_7537_r01_c08.jpg"",""eik/4005126-blb_7537_r01_c09.jpg"",""eik/4005126-blb_7537_r01_c10.jpg"",""eik/4005126-blb_7537_r01_c11.jpg"",""eik/4005126-blb_7537_r01_c12.jpg"",""eik/4005126-blb_7537_r01_c13.jpg"",""eik/4005126-blb_7537_r01_c14.jpg"",""eik/4005126-blb_7537_r01_c15.jpg"",""eik/4005126-blb_7537_r01_c16.jpg"",""eik/4005126-blb_7537_r01_c17.jpg"",""eik/4005126-blb_7537_r01_c18.jpg"",""eik/4005126-blb_7537_r01_c19.jpg"",""eik/4005126-blb_7537_r01_c20.jpg"",""eik/4005126-blb_7537_r01_c21.jpg"",""eik/4005126-blb_7537_r01_c22.jpg"",""eik/4005126-blb_7537_r01_c23.jpg"",""eik/4005126-blb_7537_r01_c24.jpg"",""eik/7537_p04_fro.jpg""}'","[{""Color"" : ""Clear""}, {""Amperage (A)"" : ""1 Amp""}, {""SAE/DOT Compliant"" : ""Yes""}, {""Industry Number"" : ""7537""}, {""Color Temperature (Kelvin)"" : ""3125K""}, {""Light Output (Lumens)"" : ""446, 40 Lumen""}, {""Base Type"" : ""BAY15d""}, {""Bulb Type"" : ""Incandescent""}, {""Wattage (W)"" : ""12 Watt""}, {""Overall Length (mm)"" : ""27mm""}, {""Average Life (hr)"" : ""150 Hour""}, {""Light Center Length (in)"" : ""1-1/4 Inch""}, {""Bulb Diameter (in)"" : ""1-1/4 Inch""}, {""Overall Length (in)"" : ""1-1/16 Inch""}, {""Bulb Diameter (mm)"" : ""32mm""}, {""Filament Type"" : ""C6/C6""}, {""Number Of Filaments"" : ""2""}, {""Voltage (V)"" : ""28 Volt""}, {""Bulb Family"" : ""S8DC""}]"
